job_title,grade,jurisdictional_classification,negotiating_unit,job_level,agency_description
Apiary Inspector,NS,1.0,5.0,,"Agriculture & Markets, Dept of"
Appointments Examiner 1,13,0.0,2.0,,"Civil Service, Department of"
Appointments Examiner 2,15,0.0,2.0,,"Civil Service, Department of"
Archives & Records Management Specialist 2,18,0.0,5.0,,"Education, Dept of"
Archives & Records Management Specialist 3,23,0.0,5.0,,"Education, Dept of"
Archives & Records Management Specialist 4,26,0.0,5.0,,"Education, Dept of"
Archives & Records Management Specialist 5,62,0.0,6.0,,"Education, Dept of"
Area Office Dir,63,0.0,6.0,,"Health, Department of"
Artist Designer 1,8,1.0,2.0,,"Housing & Comm Renewal, Div of"
Artist Designer 2,11,1.0,2.0,,"Comptroller, Office of"
Artists Model Pt,NS,1.0,5.0,,"SUNY-Admin,Coll+Univs"
Arts Program Assoc,23,1.0,5.0,,"Arts, Council On The"
Arts Program Dir,62,1.0,6.0,,"Arts, Council On The"
Arts Team Assoc,18,1.0,5.0,,"Arts, Council On The"
Assistant Director Agricultural Development,63,1.0,6.0,,"Agriculture & Markets, Dept of"
Assistant Director Municipal Audits,65,0.0,6.0,,"Comptroller, Office of"
Assistant Director Nursing 1 Infection Control,61,0.0,6.0,,Multiple Agencies
Assistant Director Nursing 1 Long Term Care,61,0.0,6.0,,Health - M/O+Facs
Assistant Director Nursing 1 Psychiatric,61,0.0,6.0,,Multiple Agencies
Assistant Director Nursing 1 Rehab,61,0.0,6.0,,Helen Hayes Hospital
Assistant Director Nursing 1 Youth,25,0.0,5.0,,"Children&Family Svcs, Off of"
Assistant Director Nursing 2 Corrl Svcs,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assistant Director Nursing 2 Medical Care,62,0.0,6.0,,Multiple Agencies
Assistant Director Unemployment Insurance Audit,64,0.0,6.0,,"Labor, Department of"
Assistant Geologist,20,0.0,5.0,,Multiple Agencies
Assistant Land Surveyor,20,0.0,5.0,,Multiple Agencies
Assistant Regional Dir Environmental Conservation,65,1.0,6.0,,"Environmental Conservation, Dept of"
Assisted Outpatient Trtmt Compliance Coord,25,1.0,5.0,,"Mental Health, Office of"
Assisted Outpatient Trtmt Compliance Spec 1,23,1.0,5.0,,"Mental Health, Office of"
Assisted Outpatient Trtmt Compliance Spec 2,25,1.0,5.0,,"Mental Health, Office of"
Assisted Outpatient Trtmt Compliance Spec 3,62,1.0,6.0,,"Mental Health, Office of"
Assisted Outpatient Trtmt Compliance Spec 4,63,1.0,6.0,,"Mental Health, Office of"
Assnt Actuary,14,0.0,5.0,,Multiple Agencies
Assnt Architect,20,0.0,5.0,,Multiple Agencies
Assnt Chief Accountant,29,0.0,5.0,,Multiple Agencies
Assnt Chief Budget Examiner,65,0.0,6.0,,"Budget, Division of the"
Assnt Chief Health Planner,27,0.0,5.0,,"Health, Department of"
Assnt Chief Investigations,NS,2.0,6.0,,Multiple Agencies
Assnt Clinical Physician,NS,0.0,5.0,,Multiple Agencies
Assnt Clinical Physician Spanish Language,NS,0.0,5.0,,OMH-M/O+Facs
Assnt Commr,NS,2.0,6.0,,Multiple Agencies
Assnt Counsel,25,1.0,5.0,,Multiple Agencies
Assnt Deputy Commr,NS,2.0,6.0,,Multiple Agencies
Assnt Deputy Supt,61,1.0,6.0,,Multiple Agencies
Assnt Dir,NS,2.0,56.0,,Multiple Agencies
Assnt Dir Accounting Operations,63,0.0,6.0,,State Insurance Fund
Assnt Dir Addiction Treatment Center,61,0.0,6.0,,Addiction Treatment Centers
Assnt Dir Alcohol & Substance Abuse Tmt Program,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Animal Industry,64,1.0,6.0,,"Agriculture & Markets, Dept of"
Assnt Dir Archival Services & Records Mgt,63,0.0,6.0,,"Education, Dept of"
Assnt Dir Biological Sciences,64,1.0,6.0,,"State Police, Division of"
Assnt Dir Building Standards & Codes,29,0.0,5.0,,"State, Department of"
Assnt Dir Committee on Open Government,62,0.0,6.0,,"State, Department of"
Assnt Dir Comp Claims & Medical Admn,64,0.0,6.0,,State Insurance Fund
Assnt Dir Conciliation & Mediation Services,64,0.0,6.0,,"Taxation and Finance, Dept of"
Assnt Dir Contracts,65,0.0,6.0,,"Comptroller, Office of"
Assnt Dir Correctional Academic Educ,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Correctional Dental Services,67,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Correctional Guidance,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Correctional Health Services,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Correctional Industries Business Dev,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Correctional Industries Management,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Correctional Industries Operations,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Correctional Mental Health Programs,25,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Correctional Voc Educ,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Crisis Intervention Program,61,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Div Cemeteries,61,0.0,6.0,,"State, Department of"
Assnt Dir Div Corporations & State Records,61,0.0,6.0,,"State, Department of"
Assnt Dir Div Licensing Svcs,27,0.0,5.0,,"State, Department of"
Assnt Dir Div Occupational Safety & Health,65,1.0,6.0,,"Labor, Department of"
Assnt Dir Employment Services,65,0.0,6.0,,"Labor, Department of"
Assnt Dir Family & Volunteer Services,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Financial Admn 1,25,0.0,5.0,,Multiple Agencies
Assnt Dir Financial Admn 2,62,0.0,6.0,,Multiple Agencies
Assnt Dir Financial Admn 3,63,0.0,6.0,,Multiple Agencies
Assnt Dir Financial Admn 4,64,0.0,6.0,,Multiple Agencies
Assnt Dir Financial Services Frauds Bureau,NS,2.0,6.0,,"Financial Services, Department of"
Assnt Dir Financial Svs Licensing Svs,61,0.0,6.0,,"Financial Services, Department of"
Assnt Dir Food Laboratory,27,0.0,5.0,,"Agriculture & Markets, Dept of"
Assnt Dir Information Technology Services 1,64,0.0,6.0,,Multiple Agencies
Assnt Dir Information Technology Services 2,65,0.0,6.0,,Multiple Agencies
Assnt Dir Information Technology Technical Svs 1,64,0.0,6.0,,Multiple Agencies
Assnt Dir Inmate Classification & Movement,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Inmate Grievance Program,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Insur Fund Field Services,63,0.0,6.0,,State Insurance Fund
Assnt Dir Insur Fund Underwriting,64,0.0,6.0,,State Insurance Fund
Assnt Dir Insur Premium Audits,63,0.0,6.0,,State Insurance Fund
Assnt Dir Labor Standards,64,0.0,6.0,,"Labor, Department of"
Assnt Dir Land & Water Resources,63,1.0,6.0,,"Agriculture & Markets, Dept of"
Assnt Dir Ministerial Services,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Motor Vehicle Investigations,63,0.0,6.0,,"Motor Vehicles, Department of"
Assnt Dir of Claims,64,0.0,6.0,,Workers Compensation Board
Assnt Dir Office of Interoperable & Emergency Comm,63,1.0,6.0,,"Homeland Security and Emergency Services, Div of"
Assnt Dir Operations Support 1,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Operations Support 2,63,0.0,6.0,,"Taxation and Finance, Dept of"
Assnt Dir Plant Industry,62,1.0,6.0,,"Agriculture & Markets, Dept of"
Assnt Dir Public Employment Practices & Rep,64,1.0,66.0,,Public Employment Relations Brd
Assnt Dir Public Information,NS,2.0,6.0,,Multiple Agencies
Assnt Dir Public Safety Grants Management,63,0.0,6.0,,"Homeland Security and Emergency Services, Div of"
Assnt Dir Self Insurance,63,0.0,6.0,,Workers Compensation Board
Assnt Dir Special Housing & Inmate Discplnry Prg,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Staffing Services,65,0.0,6.0,,"Civil Service, Department of"
Assnt Dir State Payroll Services,65,0.0,6.0,,"Comptroller, Office of"
Assnt Dir Temp Release,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Transitional Services,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Assnt Dir Unclaimed Property Services,62,0.0,6.0,,"Comptroller, Office of"
Assnt Dir Unemployment Insurance Adjudication Svcs,63,0.0,6.0,,"Labor, Department of"
Assnt Dir Utilities Management,62,0.0,6.0,,"General Services, Office of"
Assnt Dir Vulnerable Persons Central Register,29,1.0,5.0,,Justice Center
Assnt Dir Weights & Measures,61,0.0,6.0,,"Agriculture & Markets, Dept of"
Assnt Dir Workforce Development  & Training,64,0.0,6.0,,"Labor, Department of"
Assnt Engineer Chemical,20,0.0,5.0,,"Public Service, Department of"
Assnt Engineer Civil,20,0.0,5.0,,Multiple Agencies
Assnt Engineer Civil/Construction,20,0.0,5.0,,Multiple Agencies
Assnt Engineer Civil/Geotechnical,20,0.0,5.0,,"General Services, Office of"
Assnt Engineer Civil/Structural,20,0.0,5.0,,Multiple Agencies
Assnt Engineer Civil/Transportation,20,0.0,5.0,,Multiple Agencies
Assnt Engineer Electrical,20,0.0,5.0,,Multiple Agencies
Assnt Engineer Environmental,20,0.0,5.0,,Multiple Agencies
Assnt Engineer Fire Protection,20,0.0,5.0,,"Homeland Security and Emergency Services, Div of"
Assnt Engineer Gas Pipeline Safety,20,0.0,5.0,,"Public Service, Department of"
Assnt Engineer Mechanical,20,0.0,5.0,,Multiple Agencies
Assnt Engineer Mechanical/HVAC,20,0.0,5.0,,Multiple Agencies
Assnt Environmental Program Dir,65,0.0,6.0,,"Environmental Conservation, Dept of"
Assnt Examinations Editor,14,0.0,5.0,,"Education, Dept of"
Assnt Exams Editor Braille,14,0.0,5.0,,"Education, Dept of"
Assnt Farm Products Inspector 1,NS,1.0,5.0,,"Agriculture & Markets, Dept of"
Assnt Farm Products Inspector 2,NS,1.0,5.0,,"Agriculture & Markets, Dept of"
Assnt Forest Ranger,NS,0.0,21.0,,"Environmental Conservation, Dept of"
Assnt Golf Course Supt,18,1.0,5.0,,P&R Long Island Park Comm
Assnt Horticultural Inspector 1,NS,1.0,5.0,,"Agriculture & Markets, Dept of"
Assnt Horticultural Inspector 2,NS,1.0,5.0,,"Agriculture & Markets, Dept of"
Assnt In Bilingual Educ,22,0.0,5.0,,"Education, Dept of"
Assnt In Continuing Educ,22,0.0,5.0,,"Education, Dept of"
Assnt In Educ Children with Disabilities,22,0.0,5.0,,"Education, Dept of"
Assnt In Educ Improvement Services,22,0.0,5.0,,"Education, Dept of"
Assnt In Educ Research,22,0.0,5.0,,"Education, Dept of"
Assnt In Educl Planning & Evaluation,22,0.0,5.0,,"Education, Dept of"
Assnt In Educl Testing,22,0.0,5.0,,"Education, Dept of"
Assnt In Higher Educ,22,0.0,5.0,,"Education, Dept of"
Assnt In Higher Educ Opportunity,22,0.0,5.0,,"Education, Dept of"
Assnt In Instructional Services,22,0.0,5.0,,"Education, Dept of"
Assnt in Nursing Educ,22,0.0,5.0,,"Education, Dept of"
Assnt in Nursing Educ Scope of Practice,22,0.0,5.0,,"Education, Dept of"
Assnt In Occupational School Supvn,22,0.0,5.0,,"Education, Dept of"
Assnt In Professional Educ,22,0.0,5.0,,"Education, Dept of"
Assnt In School Lunch Admn,22,0.0,5.0,,"Education, Dept of"
Assnt In Teacher Educ,22,0.0,5.0,,"Education, Dept of"
Assnt Indus Supt,21,0.0,5.0,,Corrections - M/O+Facs
Assnt Insurance Fund Services Rep,13,0.0,2.0,,State Insurance Fund
Assnt Investment Officer,18,0.0,5.0,,Multiple Agencies
Assnt Office Services Manager,18,0.0,5.0,,Multiple Agencies
Assnt Park Recreation Activities Specialist,NS,0.0,4.0,,Park Commission For the City Of NY
Assnt Park Recreation Supvr,12,0.0,4.0,,Parks+Recreation-M/O+Reg Comms
Assnt Parole Services Program Specialist,25,1.0,5.0,,Corrections - M/O+Facs
Assnt Psychiatrist,NS,0.0,5.0,,Multiple Agencies
Assnt Public Information Officer,NS,2.0,5.0,,Multiple Agencies
Assnt Purchasing Agent,14,0.0,5.0,,Multiple Agencies
Assnt Regional Dir Parole Operations,64,1.0,6.0,,DOCCS Community Supervision
Assnt Regional Park Recreation Coord,16,0.0,5.0,,Parks+Recreation-M/O+Reg Comms
Assnt Research Scientist,14,1.0,5.0,,Multiple Agencies
Assnt Supt Of Construction,15,0.0,5.0,,Multiple Agencies
Assnt Supvr Tax Conferences,27,0.0,5.0,,"Taxation and Finance, Dept of"
Assnt Thruway Stores Supvr,NS,0.0,12.0,,Thruway Authority
Assnt Traffic Signal Equipment Specialist,15,0.0,5.0,,"Transportation, Department of"
Assnt Traffic Supvr,NS,0.0,12.0,,Thruway Authority
Assnt Training Technician Youth Services,14,0.0,5.0,,"Children&Family Svcs, Off of"
Assnt Workers Comp Examiner,9,0.0,2.0,,Workers Compensation Board
Assnt Workers Comp Examiner Spanish Language,9,0.0,2.0,,Workers Compensation Board
Assoc Accountant,23,0.0,5.0,,Multiple Agencies
Assoc Accountant State Accounts & Systems,23,0.0,5.0,,"Comptroller, Office of"
Assoc Actuary Casualty,24,0.0,5.0,,Multiple Agencies
Assoc Actuary Life,24,0.0,5.0,,Multiple Agencies
Assoc Admnv Analyst,23,0.0,5.0,,Multiple Agencies
Assoc Agency Services Analyst,23,1.0,5.0,,"Economic Development, Dept of"
Assoc Architect,27,0.0,5.0,,Multiple Agencies
Assoc Attorney,28,0.0,5.0,,Multiple Agencies
Assoc Attorney Financial Services,63,0.0,6.0,,"Financial Services, Department of"
Assoc Attorney Health Care Regulation,28,0.0,5.0,,"Health, Department of"
Assoc Attorney Realty,28,0.0,5.0,,"Law, Department of"
Assoc Attorney Tax Enforcement,63,1.0,6.0,,"Taxation and Finance, Dept of"
Assoc Budget Examiner,62,0.0,6.0,,"Budget, Division of the"
Assoc Budgeting Analyst,23,0.0,6.0,,Multiple Agencies
Assoc Capital Program Analyst,23,0.0,5.0,,Transportation - M/O+Regs
Assoc Certification Analyst,23,1.0,5.0,,"Economic Development, Dept of"
Assoc Commr Mental Health,68,1.0,6.0,,"Mental Health, Office of"
Assoc Consumer Frauds Rep,23,0.0,5.0,,"Law, Department of"
Assoc Counsel,28,1.0,5.0,,Multiple Agencies
Assoc Dir Human Resources 1,61,0.0,6.0,,Multiple Agencies
Assoc Dir Human Resources 1 Institution,61,0.0,6.0,,Multiple Agencies
Assoc Dir Human Resources 2,62,0.0,6.0,,Multiple Agencies
Assoc Dir Human Resources 2 Institution,62,0.0,6.0,,Multiple Agencies
Assoc Dir Human Resources 2 Labor Relations,62,0.0,6.0,,Multiple Agencies
Assoc Dir Human Resources 3,63,0.0,6.0,,Multiple Agencies
Assoc Dir Human Resources 3 Labor Relations,63,0.0,6.0,,Multiple Agencies
Assoc Dir Human Resources 4,64,0.0,6.0,,Multiple Agencies
Assoc Dir Human Resources 4 Labor Relations,64,0.0,6.0,,Multiple Agencies
Assoc Dir Training 1,61,0.0,6.0,,Multiple Agencies
Assoc Dir Training 1 Addictions,61,0.0,6.0,,"Addiction Services and Supports, Off of"
Assoc Dir Training 1 Instructional Design,61,0.0,6.0,,"Children&Family Svcs, Off of"
Assoc Dir Training 1 Mental Hygiene,61,0.0,6.0,,Multiple Agencies
Assoc Dir Training 2,62,0.0,6.0,,Multiple Agencies
Assoc Dir Training 2 Instructional Design,62,0.0,6.0,,"Children&Family Svcs, Off of"
Assoc Dir Training 2 Mental Hygiene,62,0.0,6.0,,Multiple Agencies
Assoc Dir Training 3,63,0.0,6.0,,Multiple Agencies
Assoc Dir Training 4,64,0.0,6.0,,Multiple Agencies
Assoc Economist,23,0.0,5.0,,Multiple Agencies
Assoc Economist Labor Research,23,0.0,5.0,,"Labor, Department of"
Assoc Economist Milk Marketing,23,0.0,5.0,,"Agriculture & Markets, Dept of"
Assoc Economist Regulatory Economics,23,0.0,5.0,,"Public Service, Department of"
Assoc Employment Services Rep,23,0.0,5.0,,"Labor, Department of"
Assoc Engineering Materials Analyst,23,0.0,5.0,,"Transportation, Department of"
Assoc Environmental Analyst Agriculture,23,0.0,5.0,,"Agriculture & Markets, Dept of"
Assoc Health Care Fiscal Analyst,23,0.0,5.0,,Multiple Agencies
Assoc Health Care Management Systems Analyst,23,0.0,5.0,,Multiple Agencies
Assoc Health Planner,23,0.0,5.0,,"Health, Department of"
Assoc In Bilingual Educ,26,0.0,5.0,,"Education, Dept of"
Assoc In Continuing Educ,26,0.0,5.0,,"Education, Dept of"
Assoc In Educ Children with Disabilities,26,0.0,5.0,,"Education, Dept of"
Assoc In Educ Improvement Services,26,0.0,5.0,,"Education, Dept of"
Assoc In Educ Research,26,0.0,5.0,,"Education, Dept of"
Assoc In Educl Planning & Evaluation,26,0.0,5.0,,"Education, Dept of"
Assoc In Educl Testing,26,0.0,5.0,,"Education, Dept of"
Assoc In Higher Educ,26,0.0,5.0,,"Education, Dept of"
Assoc In Higher Educ Opportunity,26,0.0,5.0,,"Education, Dept of"
Assoc In Instructional Services,26,0.0,5.0,,"Education, Dept of"
Assoc In Nursing Educ,26,0.0,5.0,,"Education, Dept of"
Assoc In Nursing Educ Addictions,26,0.0,5.0,,"Education, Dept of"
Assoc In Nursing Educ Scope of Practice,26,0.0,5.0,,"Education, Dept of"
Assoc In Occupational School Supvn,26,0.0,5.0,,"Education, Dept of"
Assoc In Performing Arts Educ,26,0.0,5.0,,"Education, Dept of"
Assoc In Professional Educ,26,0.0,5.0,,"Education, Dept of"
Assoc In School Business Mgt,26,0.0,5.0,,"Education, Dept of"
Assoc In School Library Service,26,0.0,5.0,,"Education, Dept of"
Assoc In School Nursing,26,0.0,5.0,,"Education, Dept of"
Assoc In Teacher Educ,26,0.0,5.0,,"Education, Dept of"
Assoc Industrial Hygienist,23,0.0,5.0,,Multiple Agencies
Assoc Investment Officer,23,0.0,5.0,,Multiple Agencies
Assoc Landscape Architect,27,0.0,5.0,,Multiple Agencies
Assoc Librarian,25,0.0,5.0,,Multiple Agencies
Assoc Librarian Blind,25,0.0,5.0,,"Education, Dept of"
Assoc Librarian Reference,25,0.0,5.0,,"Education, Dept of"
Assoc Librarian Technical Processes,25,0.0,5.0,,"Education, Dept of"
Assoc License Examination Specialist,23,0.0,5.0,,Multiple Agencies
Assoc Municipal Financial Analyst,23,0.0,5.0,,"Comptroller, Office of"
Assoc Museum Exhibit Planner,21,1.0,5.0,,"Education, Dept of"
Assoc Psychologist,23,0.0,5.0,,Multiple Agencies
Assoc Psychologist Spanish Language,23,0.0,5.0,,OMH-M/O+Facs
Assoc Radiological Health Specialist,23,0.0,5.0,,"Health, Department of"
Assoc Safety & Health Inspector,20,0.0,5.0,,"Labor, Department of"
Assoc Statistician,23,0.0,5.0,,Multiple Agencies
Assoc Training Technician Veterans Services,23,0.0,5.0,,"Veterans Services, Department of"
Assoc Trans Analyst,27,0.0,5.0,,Transportation - M/O+Regs
Assoc Trial Examiner,63,1.0,66.0,,Public Employment Relations Brd
Assoc Unemp Insur Hearing Rep,23,0.0,5.0,,"Labor, Department of"
Assoc Unemp Insur Internal Security Specialist,23,0.0,5.0,,"Labor, Department of"
Assoc Unemp Insur Internal Security Specialist QC,23,0.0,5.0,,"Labor, Department of"
Assoc Unemp Insur Reviewing Examiner,23,0.0,5.0,,"Labor, Department of"
Assoc Utility Financial Analyst,23,0.0,5.0,,"Public Service, Department of"
Assoc Voc Rehab Counselor,25,0.0,5.0,,Multiple Agencies
Assoc Workers Comp Examiner,23,0.0,5.0,,Workers Compensation Board
Associate Director Forensic Investigation Center,29,1.0,5.0,,"State Police, Division of"
Associate Mediator Public Employment,63,0.0,66.0,,Public Employment Relations Brd
Audiologist 1,16,0.0,5.0,,Multiple Agencies
Audiologist 2,18,0.0,5.0,,Multiple Agencies
Audiovisual Production Specialist,15,0.0,5.0,,Multiple Agencies
Audit Program Assistant Director,65,0.0,6.0,,"Comptroller, Office of"
Audit Program Dir,66,0.0,6.0,,"Comptroller, Office of"
Auditor 1,18,0.0,5.0,,Multiple Agencies
Auditor 1 Abandoned Property,18,0.0,5.0,,"Comptroller, Office of"
Auditor 1 Fiscal Systems,18,0.0,5.0,,Multiple Agencies
Auditor 1 Insurance Premium,18,0.0,5.0,,State Insurance Fund
Auditor 1 Municipal,18,0.0,5.0,,"Comptroller, Office of"
Auditor 1 Tax,18,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 2,23,0.0,5.0,,Multiple Agencies
Auditor 2 Abandoned Property,23,0.0,5.0,,"Comptroller, Office of"
Auditor 2 Corporation Tax,23,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 2 Employment & Training,23,0.0,5.0,,"Labor, Department of"
Auditor 2 Excise Tax,23,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 2 Fiscal Systems,23,0.0,5.0,,Multiple Agencies
Auditor 2 Forensic,23,0.0,5.0,,Multiple Agencies
Auditor 2 Forensic Tax,23,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 2 Income Franchise Tax,23,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 2 Insurance Premium,23,0.0,5.0,,State Insurance Fund
Auditor 2 Medicaid,23,0.0,5.0,,"Medicaid Inspector General, Office of"
Auditor 2 Municipal,23,0.0,5.0,,"Comptroller, Office of"
Auditor 2 Public Utilities,23,0.0,5.0,,"Public Service, Department of"
Auditor 2 Sales Tax,23,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 2 Unemployment Insurance,23,0.0,5.0,,"Labor, Department of"
Auditor 3,27,0.0,5.0,,Multiple Agencies
Auditor 3 Abandoned Property,27,0.0,5.0,,"Comptroller, Office of"
Auditor 3 Corporation Tax,27,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 3 Employment & Training,27,0.0,5.0,,"Labor, Department of"
Auditor 3 Excise Tax,27,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 3 Fiscal Systems,27,0.0,5.0,,Multiple Agencies
Auditor 3 Forensic Tax,27,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 3 Income Franchise Tax,27,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 3 Insurance Premium,27,0.0,5.0,,State Insurance Fund
Auditor 3 Medicaid,27,0.0,5.0,,"Medicaid Inspector General, Office of"
Auditor 3 Municipal,27,0.0,5.0,,"Comptroller, Office of"
Auditor 3 Public Utilities,27,0.0,5.0,,Multiple Agencies
Auditor 3 Sales Tax,27,0.0,5.0,,"Taxation and Finance, Dept of"
Auditor 3 Unemployment Insurance,27,0.0,5.0,,"Labor, Department of"
Automotive Facilities Inspector,16,0.0,5.0,,"Motor Vehicles, Department of"
